Problema,OG,M3GP,OTDD,MD_train_m3gp,MD_train_og,% ERROR train,MD_test_m3gp,MD_test_og,% ERROR test,num rasgos m3gp,num rasgos OG,dif rasgos,nodos,Variance,PCA
Im3,Im3_20,Im3_20,1.7461,99.1111,90.6667,90.4762,92.7835,80.4124,63.1579,8,6,2,69,1,6
Im3,Im3_21,Im3_21,1.0875,99.5556,92,94.4444,93.8144,81.4433,66.6667,4,6,-2,59,0.9946,4
Im3,Im3_22,Im3_22,1.6223,99.1111,90.2222,90.9091,94.8454,83.5052,68.75,5,6,-1,42,0.9979,5
Im3,Im3_23,Im3_23,1.7958,99.5556,89.3333,95.8333,96.9072,80.4124,84.2105,6,6,0,119,1,6
Im3,Im3_24,Im3_24,0.6119,99.5556,90.6667,95.2381,95.8763,74.2268,84,3,6,-3,74,0.9824,3
Im3,Im3_25,Im3_25,0.4475,99.1111,90.2222,90.9091,91.7526,83.5052,50,2,6,-4,37,0.9577,2
Im3,Im3_26,Im3_26,1.6688,99.5556,91.1111,95,95.8763,83.5052,75,7,6,1,64,1,6
Im3,Im3_27,Im3_27,0.331,98.2222,92.8889,75,94.8454,84.5361,66.6667,2,6,-4,37,0.9561,2
Im3,Im3_28,Im3_28,0.8669,99.1111,91.1111,90,91.7526,82.4742,52.9412,3,6,-3,58,0.9832,3
Im3,Im3_29,Im3_29,1.4962,99.5556,92,94.4444,92.7835,79.3814,65,6,6,0,165,1,6
Im3,Im3_30,Im3_30,0.5083,99.1111,89.7778,91.3044,95.8763,79.3814,80,3,6,-3,64,0.9819,3
Im10,Im10_1,Im10_1,2.4438,93.3981,87.1359,48.6793,91.5581,65.2691,75.6933,13,6,7,156,1,6
Im10,Im10_2,Im10_2,2.5521,92.2573,85.7282,45.7483,91.9547,65.779,76.4901,12,6,6,329,1,6
Im10,Im10_3,Im10_3,2.1884,93.4223,86.9418,49.6283,90.9915,65.6657,73.7624,12,6,6,279,1,6
Im10,Im10_4,Im10_4,2.4133,92.8641,86.9418,45.3532,89.9717,67.4788,69.1638,13,6,7,340,1,6
Im10,Im10_5,Im10_5,2.3935,92.6456,86.5291,45.4054,91.7281,66.1756,75.5444,13,6,7,318,1,6
Im10,Im10_6,Im10_6,1.8739,93.0825,86.8204,47.5138,91.2181,68.4986,72.1223,12,6,6,281,1,6
Im10,Im10_7,Im10_7,2.6384,93.1553,86.5777,49.0054,90.9348,66.0057,73.3333,12,6,6,305,1,6
Im10,Im10_8,Im10_8,2.6995,92.767,85.7282,49.3197,91.5014,67.1955,74.0933,12,6,6,491,1,6
Im10,Im10_9,Im10_9,2.872,92.4757,85.8495,46.8268,92.0113,67.1955,75.6477,12,6,6,249,1,6
Im10,Im10_10,Im10_10,2.5158,92.8398,86.5291,46.8469,91.1615,64.7592,74.9196,11,6,5,266,1,6
Im10,Im10_11,Im10_11,2.9233,92.8398,86.9418,45.1673,90.9348,65.6657,73.5974,12,6,6,191,1,6
Im10,Im10_12,Im10_12,2.6276,93.5437,86.9418,50.5576,91.3314,65.6657,74.7525,11,6,5,256,1,6
Im10,Im10_13,Im10_13,2.1319,92.6456,86.9418,43.6803,89.9717,65.6657,70.7921,14,6,8,183,1,6
Im10,Im10_14,Im10_14,2.3763,93.3495,86.9418,49.0706,90.7082,65.6657,72.9373,12,6,6,205,1,6
Im10,Im10_15,Im10_15,2.4046,93.2767,87.1359,47.7359,90.1416,65.2691,71.615,12,6,6,249,1,6
Im10,Im10_16,Im10_16,3.0398,92.9612,87.1359,45.283,90.6516,65.2691,73.0832,11,6,5,246,1,6
Im10,Im10_17,Im10_17,2.5891,93.4952,87.3786,48.4615,90.5382,67.1955,71.1572,12,6,6,155,1,6
Im10,Im10_18,Im10_18,2.8578,92.9612,86.6262,47.3684,90.9348,66.119,73.2442,11,6,5,206,1,6
Im10,Im10_19,Im10_19,2.277,92.9126,87.0146,45.4206,91.0482,67.1955,72.7116,12,6,6,281,1,6
Im10,Im10_20,Im10_20,3.1162,92.7185,86.0437,47.8261,92.1813,65.779,77.1523,13,6,7,350,1,6
Im10,Im10_21,Im10_21,2.2259,92.8884,87.1359,44.717,90.085,65.2691,71.4519,13,6,7,196,1,6
Im10,Im10_22,Im10_22,2.0967,92.7913,85.8495,49.0566,92.1247,66.7422,76.3203,14,6,8,333,1,6
Im10,Im10_23,Im10_23,2.182,93.1311,86.8689,47.6895,90.5949,65.6091,72.6524,16,6,10,261,1,6
Im10,Im10_24,Im10_24,2.2212,93.0825,87.2816,45.6107,90.3683,64.306,73.0159,13,6,7,164,1,6
Im10,Im10_25,Im10_25,2.4847,92.8398,86.7718,45.8716,91.2748,66.7422,73.7649,14,6,8,207,1,6
Im10,Im10_26,Im10_26,2.7167,93.0825,87.1359,46.2264,90.3683,65.2691,72.2675,11,6,5,224,1,6
Im10,Im10_27,Im10_27,2.2616,93.034,86.5777,48.1013,90.9915,67.0822,72.6334,12,6,6,379,1,6
Im10,Im10_28,Im10_28,2.1984,93.1068,87.1359,46.4151,90.4249,69.1218,68.9908,15,6,9,228,1,6
Im10,Im10_29,Im10_29,1.9445,92.0146,86.7718,39.633,89.3484,65.949,68.7188,11,6,5,200,1,6
Im10,Im10_30,Im10_30,2.1438,93.034,86.432,48.6583,91.2181,65.0992,74.8377,16,6,10,245,1,6
Seg,Seg_1,Seg_1,2.6597,97.0548,72.6712,89.2231,94.409,69.6486,81.579,6,19,-13,213,0.9969,6
Seg,Seg_2,Seg_2,4.0339,97.5343,73.2877,90.7692,95.8467,75.7189,82.8947,8,19,-11,239,0.9998,8
Seg,Seg_3,Seg_3,4.5506,97.5343,71.9178,91.2195,96.6454,74.6006,86.7925,9,19,-10,248,0.9999,9
Seg,Seg_4,Seg_4,2.0602,97.6712,74.4521,90.8847,96.1661,72.3642,86.1272,5,19,-14,114,0.9855,5
